name,url,country
Count Václav Antonín Chotek of Chotkov and Vojnín,https://en.wikipedia.org/wiki/Count_Václav_Antonín_Chotek_of_Chotkov_and_Vojnín,Czechia
Eduard Hedvicek,https://en.wikipedia.org/wiki/Eduard_Hedvicek,Czechia
"Leopold, Count von Thun und Hohenstein","https://en.wikipedia.org/wiki/Leopold,_Count_von_Thun_und_Hohenstein",Czechia
Ibrahim Harun,https://en.wikipedia.org/wiki/Ibrahim_Harun,Ethiopia
José Francisco Barrundia,https://en.wikipedia.org/wiki/José_Francisco_Barrundia,Honduras
Manuel Carrascalão,https://en.wikipedia.org/wiki/Manuel_Carrascalão,Indonesia
Bak Jungyang,https://en.wikipedia.org/wiki/Bak_Jungyang,Korean
Visar Ymeri,https://en.wikipedia.org/wiki/Visar_Ymeri,Kosovo
Torokul Dzhanuzakov,https://en.wikipedia.org/wiki/Torokul_Dzhanuzakov,Kyrgyzstan
Tadeusz Kościuszko,https://en.wikipedia.org/wiki/Tadeusz_Kościuszko,Lithuania
Venko Markovski,https://en.wikipedia.org/wiki/Venko_Markovski,North Macedonia
Ashab Uddin Ahmad,https://en.wikipedia.org/wiki/Ashab_Uddin_Ahmad,Pakistan
Moinuddin Ahmed Chowdhury,https://en.wikipedia.org/wiki/Moinuddin_Ahmed_Chowdhury,Pakistan
Mohammad Toaha,https://en.wikipedia.org/wiki/Mohammad_Toaha,Pakistan
Tadeusz Kościuszko,https://en.wikipedia.org/wiki/Tadeusz_Kościuszko,Poland
Ali al-Qaradaghi,https://en.wikipedia.org/wiki/Ali_al-Qaradaghi,Qatar
"Aleksandr Nikitin (politician, born 1987)","https://en.wikipedia.org/wiki/Aleksandr_Nikitin_(politician,_born_1987)",Russia
José Alejandro de Aycinena,https://en.wikipedia.org/wiki/José_Alejandro_de_Aycinena,El Salvador
Shqiprim Arifi,https://en.wikipedia.org/wiki/Shqiprim_Arifi,Serbia
Melko Čingrija,https://en.wikipedia.org/wiki/Melko_Čingrija,Serbia
Oliver Ivanović,https://en.wikipedia.org/wiki/Oliver_Ivanović,Serbia
Stjepan Mitrov Ljubiša,https://en.wikipedia.org/wiki/Stjepan_Mitrov_Ljubiša,Serbia
Svetozar Pribićević,https://en.wikipedia.org/wiki/Svetozar_Pribićević,Serbia
Goran Rakić,https://en.wikipedia.org/wiki/Goran_Rakić,Serbia
Lazar Tomanović,https://en.wikipedia.org/wiki/Lazar_Tomanović,Serbia
Antonín Janoušek,https://en.wikipedia.org/wiki/Antonín_Janoušek,Slovakia
Juraj Košút,https://en.wikipedia.org/wiki/Juraj_Košút,Slovakia
Josip Ferfolja,https://en.wikipedia.org/wiki/Josip_Ferfolja,Slovenia
Djama Ali Moussa,https://en.wikipedia.org/wiki/Djama_Ali_Moussa,Somalia
Antonio Gutiérrez y Ulloa,https://en.wikipedia.org/wiki/Antonio_Gutiérrez_y_Ulloa,Spain
Manuel Marliani,https://en.wikipedia.org/wiki/Manuel_Marliani,Spain
Rafael Montoro,https://en.wikipedia.org/wiki/Rafael_Montoro,Spain
Bona Malwal,https://en.wikipedia.org/wiki/Bona_Malwal,Sudan
George Kongor Arop,https://en.wikipedia.org/wiki/George_Kongor_Arop,Sudan
Luigi Adwok,https://en.wikipedia.org/wiki/Luigi_Adwok,Sudan
Siricio Iro Wani,https://en.wikipedia.org/wiki/Siricio_Iro_Wani,Sudan
Abir Al-Sahlani,https://en.wikipedia.org/wiki/Abir_Al-Sahlani,Sweden
Jacob Magnus Sprengtporten,https://en.wikipedia.org/wiki/Jacob_Magnus_Sprengtporten,Sweden
Hrant Maloyan,https://en.wikipedia.org/wiki/Hrant_Maloyan,Syria
Torokul Dzhanuzakov,https://en.wikipedia.org/wiki/Torokul_Dzhanuzakov,Tajikistan
Yat Hwaidi,https://en.wikipedia.org/wiki/Yat_Hwaidi,Thailand
Sergey Abisov,https://en.wikipedia.org/wiki/Sergey_Abisov,Ukraine
Moshe Gutman,https://en.wikipedia.org/wiki/Moshe_Gutman,Ukraine
Torokul Dzhanuzakov,https://en.wikipedia.org/wiki/Torokul_Dzhanuzakov,Uzbekistan
